id,text,author,language
id26305,proces however afforded means ascertaining dimensions dungeon might make circuit return point whence set without aware fact perfectly uniform seemed wal,EAP,en
id17569,never occurred fumbling might mere mistake,HPL,en
id11008,left hand gold snuff box capered hil cutting manner fantastic steps took incessantly air greatest possible self satisfaction,EAP,en
id27763,lovely spring looked windsor terrace sixteen fertile counties spread beneath speckled happy cottages wealthier towns former years heart cheering fair,MWS,en
id12958,finding nothing else even gold superintendent abandoned atempts perplexed look occasionally steals countenance sits thinking desk,HPL,en
id22965,youth passed solitude best years spent gentle feminine fosterage refined groundwork character canot overcome intense distaste usual brutality exercised board ship never believed necesary heard mariner equally noted kindliness heart respect obedience paid crew felt peculiarly fortunate able secure services,MWS,en
id09674,astronomer perhaps point took refuge suggestion non luminosity analogy suddenly let fal,EAP,en
id13515,surcingle hung ribands body,EAP,en
id19322,knew could say stereotomy without brought think atomies thus theories epicurus since discussed subject long ago mentioned singularly yet little notice vague guesses noble greek met confirmation late nebular cosmogony felt avoid casting eyes upward great nebula orion certainly expected would,EAP,en
id00912,confess neither structure languages code governments politics various states possessed attractions,MWS,en
id16737,shal find feel injuries learn dread revenge days arived,MWS,en
id16607,barricaded present secure,EAP,ca
id19764,herbert west needed fresh bodies life work reanimation dead,HPL,en
id18886,farm like grounds extended back deeply hil almost wheaton stret,HPL,en
id17189,glance show fallacy idea,EAP,en
id12799,escaped must begins destructive almost endless journey across mountainous ices ocean amidst cold populations could long endure native genial sunny climate hope survive,MWS,fr
id08441,speeches gave course interpretation fancying doubt events come possession vast quantities ready money provided paid owed trifle consideration services dare say cared little became either soul carcas,EAP,en
id13117,native sprightliness needed undue excitement placid heart reposed contented love well children beauty surrounding nature,MWS,en
id14862,even went far speak slightly hectic cough one time troubled chronic rheumatism twinge hereditary gout conclusion disagreeable inconvenient hitherto carefully concealed weakness eyes,EAP,en
id20836,facial aspect remarkable maturity though shared mothers grandfathers chinlesnes firm precociously shaped nose united expression large dark almost latin eyes give air quasi adulthood well nigh preternatural inteligence,HPL,en
id11411,net work permanently fastened hop attached series running loops noses,EAP,en
id08075,sounds hideous held vibrations suggesting nothing globe earth certain intervals assumed symphonic quality could hardly conceive produced one player,HPL,en
id18925,every hand wilderness balconies verandas minarets shrines fantastically carved oriels,EAP,en
id19925,deep spirit wonder perplexity wont regard remote pew galery step solemn slow ascended pulpit reverend man countenance demurely benign robes glossy clericaly flowing wig minutely powdered rigid vast could late sour visage snufy habiliments administered ferule hand draconian laws academy,EAP,en
id01704,bizarre attempts explanation followed others equally bizare,EAP,en
id10125,many prodigies signs taken place far wide sea land black wings pestilence spread abroad,EAP,en
id02448,yet fairly said known pure gold made wil readily lead connection certain substances kind proportions unknown speculation course busy immediate ultimate results discovery thinking persons hesitate referring increased interest matter generaly late developments california reflection brings us inevitably another exceeding inopportuneness von kempelens analysis,EAP,en
id23451,seemed upon verge comprehension without power comprehend men times find brink remembrance able end remember,EAP,en
id27907,compases depth gauges delicate instruments ruined henceforth reckoning would gueswork based watches calendar apparent drift judged objects might spy portholes conning tower,HPL,en
id08121,young warriors took back sarnath symbol conquest old gods beings ib sign leadership mnar,HPL,en
id15222,meantime whole paradise arnheim bursts upon view,EAP,en
id00764,rich young guardian appointed would act one great society must keep secret really cut ever,MWS,en
id00683,could make little dim light seemed contain prophecies detailed relations events lately pased names well known modern date often exclamations exultation woe victory defeat traced thin scant pages,MWS,en
id11733,even talked about tombs,HPL,da
id03205,shehan especially ply inquiries yet without eliciting information value concerning old bugs,HPL,en
id01948,cried aloud little later gave gasp terrible cry,HPL,en
id22412,old tracks crossed river street grade veered region increasingly rural less insmouths abhorrent fishy odour,HPL,en
id05258,soul overflowed ardent afections friendship devoted wondrous nature world minded teach us look imagination,MWS,en
id00144,first start replaced tissue wrapping around portrait shield sordidness place,HPL,en
id19576,present peculiar condition affairs court especially intrigues known involved would render instant availability document susceptibility produced moments notice point nearly equal importance posesion,EAP,en
id01577,wilburs growth indeed phenomenal within three months birth attained size muscular power usually found infants full year age,HPL,en
id01651,pausing succeeded difficulty raising whereupon revealed black aperture exhaling noxious fumes caused torch sputer disclosing unsteady glare top flight stone steps,HPL,en
id27080,mud water sky dark rain wipin aout tracks abaout fast could beginin glen maouth whar trees moved still awful prints big barls like seen monday,HPL,en
id20751,visits merival windsor frequent suddenly ceased,MWS,en
id21136,suposed however great underduk suffered impertinence part little old man pass impunity,EAP,en
id10279,need tell sceptical hitherto topic souls imortality,EAP,en
id12683,often compared finding chief superiority consisted power soon persuaded inferior chiefest potentates earth,MWS,en
id19180,childrens children newcomers grew,HPL,en
id02236,dr johnson beheld ful pursy man ill drest slovenly aspect,HPL,en
id11523,presently murmur water fell gently upon ear moments afterward turned road somewhat abruptly hitherto became aware building kind lay foot gentle declivity,EAP,en
id22530,ellison remarkable continuous profusion good gifts lavished upon fortune,EAP,en
id22197,still continued plane elipse made little progress eastward,EAP,en
id24941,useless provide many things find abundant provision every town,MWS,en
id15218,fly quickly snow sledges motion pleasant opinion far agreeable english stagecoach,MWS,en
id02164,pointed spot disapeared followed track boats nets cast vain,MWS,en
id17654,indistinct recollections great storm time reached boat rate know heard peals thunder tones nature utters wildest mods,HPL,en
id20824,seemed one courtyard hoped would chance get away spreading general alarm,HPL,en
id21164,mein got take vor shicken oh replied much alarmed chicken certainly,EAP,en
id08820,perpetual fear jaundiced complexion shrivelled whole person,MWS,en
id17407,sun set atmosphere grew dim evening star longer shone companionles,MWS,en
id05166,rain ceased clouds sunk behind horizon evening sun descended swiftly western sky,MWS,en
id07779,nothing however occurred except hill noises day came many hoped new horror gone swiftly come,HPL,en
id14749,state rooms sufficiently romy two berths one,EAP,en
id10634,getting dark ancient roofs chimney pots outside looked queer buls eye window panes,HPL,en
id03555,marched various parts southern counties quartered deserted vilages part sent back island season winter far revived energy passes country defended increase numbers prohibited,MWS,en
id26727,suffered little cold dampness atmosphere unpleasant ample space car enabled us lie means cloaks blankets sufficiently wel,EAP,en
id06312,dared conquered al till sold death sole condition thou shouldst follow fire war plague unite thy destruction raymond safety heavy heart listened changes delirium made bed cloaks violence decreased clammy dew stood brow paleness succeeded crimson fever placed,MWS,en
id24464,seemed interior house old apparently details inhabitants constantly changing could never certain faces furniture even room since doors windows great state flux presumably mobile objects,HPL,en
id18006,gentleman clothed head foot richly embroidered black silk velvet pal wrapped negligently around form fashion spanish cloak,EAP,en
id04459,pigeons appeared distressed extreme struggled escape cat mewed piteously tongue hanging mouth staggered fro car influence poison,EAP,en
id06749,window panes gone,HPL,pl
id11062,panted gasped breath could doubt design tormentors oh unrelenting demoniac men shrank glowing metal centre cel,EAP,en
id01571,great difficulty gained fet looking dizzily around first struck idea among breakers terific beyond wildest imagination whirlpool mountainous foaming ocean within engulfed,EAP,en
id03152,next morning delivered letters introduction paid visit principal profesors,MWS,en
id06412,raymond make end without drawing vivid glowing colours splendour kingdom opposition commercial spirit republicanism,MWS,en
id10155,celebrated magazine sustain evidently tremendous expenses understand,EAP,en
id24823,week two visibly faded course months hardly discernible naked eye,HPL,en
id06377,stranger learned twenty words first leson inded understod profited others,MWS,en
id01222,people looked coming struggle would great degree decisive case victory next step siege constantinople greks,MWS,en
id10142,could cavity detected sounding,EAP,en
id08521,lieutenant instance man wonderful courage enterprise madly desirous glory rather word phrase characteristicaly advancement profesion,MWS,en
id13267,within twenty four hours machine near table generate waves acting unrecognised sense organs exist us atrophied rudimentary vestiges,HPL,en
id06001,everybody got aout ide dyin excep canoe wars islanders sacrifices sea gods daown snake bite plague sharp galopin ailments somethin afore cud take water simply looked forrad kind change want bit horrible arter,HPL,en
id22877,lips usual marble pale,EAP,ca
id02647,absolutely nedles replied g,EAP,en
id10154,ahead lay sparse grass scrub blueberry bushes beyond naked rock crag thin peak dreaded grey cotage,HPL,en
id22605,near loved feel limit desires,MWS,en
id18034,sky serene unable rest resolved visit spot poor wiliam murdered,MWS,no
id27266,say thing observed tell latin rem,EAP,en
id10676,said threw greatly shade cornelius agripa albertus magnus paracelsus lords imagination fatality overthrow men disinclined pursue accustomed studies,MWS,en
id03833,ex queen gives idris adrian totally unfitted succeed earldom hands becomes kingdom,MWS,en
id16135,pupils upon accession diminution light underwent contraction dilation observed feline tribe,EAP,en
id19878,kep largest branch one side said legrand,EAP,fr
id25019,quivering awhile among draperies rom length rested full view upon surface door bras,EAP,en
id18067,maternal affection rendered idris selfish beginning calamity thoughtless enthusiasm devoted care sick helples,MWS,en
id23088,came like protecting spirit poor girl committed care interment friend conducted geneva placed protection relation,MWS,en
id06172,expected extravagant proposition remained silent awhile collecting thoughts might better combat fanciful scheme,MWS,en
id08466,matters assumed really serious aspect resolved call upon particular friend mr theodore sinivate knew least get something like definite information,EAP,en
id02547,system disadvantages even dangers,EAP,da
id04451,everyone seemed inclined silent though holding secret fear,HPL,en
